State,number of incidents,Population,"murder crimes per 10,000"
California,99783,39250017.0,25.422409371185747
Texas,62095,27862596.0,22.28615022089112
New York,49268,19745289.0,24.951774572658827
Florida,37164,20612439.0,18.02988962150476
Michigan,28448,9928300.0,28.653445202099046
Illinois,25871,12801539.0,20.20928889878006
Pennsylvania,24236,12784227.0,18.95773596635917
Georgia,21088,10310371.0,20.453192227515384
North Carolina,20390,10146788.0,20.095029087037197
Louisiana,19629,4681666.0,41.92738226093019
Ohio,19158,11614373.0,16.495078985322753
Maryland,17312,6016447.0,28.774457748900637
Virginia,15520,8411808.0,18.45025468959824
Tennessee,14930,6651194.0,22.447097468514674
Missouri,14832,6093000.0,24.34268833087149
New Jersey,14132,8944469.0,15.799708177198669
Arizona,12871,6931071.0,18.570001663523573
South Carolina,11698,4961119.0,23.57935780214101
Indiana,11463,6633053.0,17.281634867081568
Alabama,11376,4863300.0,23.391524273641355
Oklahoma,8809,3923561.0,22.4515433811275
Washington,7815,7288000.0,10.723106476399561
District of Columbia,7115,681170.0,104.45263296974323
Arkansas,6947,2988248.0,23.247735797028895
Colorado,6593,5540545.0,11.899551397922046
Kentucky,6554,4436974.0,14.771328387319826
Mississippi,6546,2988726.0,21.90230887675886
Wisconsin,6191,5778708.0,10.713467439434558
Massachusetts,6036,6811779.0,8.861121301792087
Nevada,5553,2940058.0,18.887382493814748
Connecticut,4896,3576452.0,13.689544833818545
New Mexico,4272,2081015.0,20.52844405254167
Oregon,4217,4093465.0,10.301785895323398
Minnesota,3975,5519952.0,7.201149575213697
Kansas,3085,2907289.0,10.61126018087641
West Virginia,3061,1831102.0,16.716709391393817
Utah,2033,3051217.0,6.662915158115598
Iowa,1749,3134693.0,5.579493749467651
Alaska,1617,741894.0,21.795566482543325
Hawaii,1338,1428557.0,9.366094597555435
Nebraska,1331,1907116.0,6.979124500030412
Rhodes Island,1211,1056426.0,11.463178679812877
Delaware,1179,952065.0,12.383608262040932
Idaho,1150,1683140.0,6.83246788740093
Maine,869,1331479.0,6.52657683673569
New Hampshire,655,1334795.0,4.907120569076151
Wyoming,630,585501.0,10.76001578135648
Montana,601,1042520.0,5.7648774124237425
South Dakota,442,865454.0,5.1071460759324
Vermont,412,624594.0,6.5962849467013775
North Dakota,308,757952.0,4.063581862703707
