YearMonth,State_x,AvgTemp,State_y,Abbreviation,Month,State,number of incidents
January,TX,48.358208955223866,Texas,TX,January,Texas,4959
February,TX,53.38571428571435,Texas,TX,February,Texas,4520
December,TX,55.06231884057972,Texas,TX,December,Texas,5244
March,TX,61.415714285714294,Texas,TX,March,Texas,5072
November,TX,62.04999999999999,Texas,TX,November,Texas,4717
April,TX,68.79642857142858,Texas,TX,April,Texas,5052
October,TX,72.66357142857143,Texas,TX,October,Texas,5158
May,TX,74.18059701492537,Texas,TX,May,Texas,5280
September,TX,80.39500000000004,Texas,TX,September,Texas,5348
June,TX,81.46478873239441,Texas,TX,June,Texas,5272
August,TX,84.19393939393939,Texas,TX,August,Texas,5756
July,TX,85.64344262295083,Texas,TX,July,Texas,5717
