YearMonth,State_x,AvgTemp,State_y,Abbreviation,Month,State,number of incidents
January,LA,49.24705882352941,Louisiana,LA,January,Louisiana,1616
February,LA,51.873684210526314,Louisiana,LA,February,Louisiana,1541
December,LA,59.92222222222222,Louisiana,LA,December,Louisiana,1678
November,LA,62.89999999999999,Louisiana,LA,November,Louisiana,1554
March,LA,63.316216216216226,Louisiana,LA,March,Louisiana,1680
April,LA,69.73157894736842,Louisiana,LA,April,Louisiana,1592
October,LA,71.62432432432433,Louisiana,LA,October,Louisiana,1584
May,LA,75.35714285714286,Louisiana,LA,May,Louisiana,1653
September,LA,80.26486486486488,Louisiana,LA,September,Louisiana,1584
June,LA,81.78421052631582,Louisiana,LA,June,Louisiana,1719
August,LA,83.50285714285715,Louisiana,LA,August,Louisiana,1684
July,LA,84.91612903225808,Louisiana,LA,July,Louisiana,1744
