Rel_Category,number of incidents,Total incidents,Percentage
Stranger,369606,638454,57.890779915232734
Acquaintance,126018,638454,19.737992087135485
Partner-Female,44299,638454,6.938479514577402
Friend,21945,638454,3.4372092586153427
Partner-Male,19874,638454,3.11283193464212
Children,19367,638454,3.0334213584690515
Parent,13817,638454,2.1641339861603184
Family,9535,638454,1.4934513684619408
Sibling,6806,638454,1.0660125866546375
Neighbor,6294,638454,0.9858188687047149
Work,893,638454,0.13986912134625204
